row_type,server_id,campaign_host,root_domain,origin_status,origin_ip,role_or_evidence_type,observed_at_utc,service_or_vhost,server_hoster_status,network_holder,asn,prefix,formal_abuse_contact,technical_admin_contact,confidence,evidence_refs,caveat
server,origin-103-149-86-246,napxu.hungdungmedia.fun,,confirmed_current_campaign_serving_endpoint,103.149.86.246,directly_proven_for_one_campaign_vhost; ten additional campaign roots had authoritative apex A records to this address at the snapshot,2026-09-01T04:18:16Z,HTTP/80 Apache; TCP/22 OpenSSH 8.9p1 Ubuntu 3; TCP/80 Apache httpd,not established; listed entity is RIR allocation/route registrant only,4S TECHNOLOGY TRADING SERVICES COMPANY LIMITED,AS149125,103.149.86.0/23,hm-changed@vnnic.vn,info@congnghe4s.com,high for the direct serving endpoint; medium for the ten apex associations,investigation/tiktok/origin_observation.json#/direct_http_observation; investigation/tiktok/live-direct-ip.txt; investigation/tiktok/vhost_checks.jsonl; investigation/tiktok/dns_snapshot_rdap_ns.json; investigation/tiktok/apnic_whois.txt; investigation/tiktok/origin_sources/103.149.86.246_apnic_rdap.json; investigation/tiktok/shodan_host_10314986246.html,"The public records establish a serving endpoint and RIR allocation holder, not the subscriber, account holder, or person who deployed the application. An upstream backend or reverse proxy behind this address cannot be excluded from the HTTP evidence. No SSH authentication or intrusive scan was performed. The technical/admin email info@congnghe4s.com is not labeled as a formal abuse mailbox in APNIC data; route abuse reports to hm-changed@vnnic.vn."
server,historical-103-149-87-34,naptiktok.net (historical),,historical_adjacent_partial_kit_origin,103.149.87.34,historical related deployment; not confirmed as a current origin for the 20-member 2026 campaign,2025-06-09T12:18:28.430Z,HTTPS/443 nginx,not established; listed entity is RIR allocation/route registrant only,4S TECHNOLOGY TRADING SERVICES COMPANY LIMITED,AS149125,103.149.86.0/23,hm-changed@vnnic.vn,info@congnghe4s.com,medium for historical infrastructure/partial-kit correlation,investigation/tiktok/source_correlation.json#/legacy_kit_lineage/2; investigation/tiktok/related_sites/urlscan_result_pages/019754a0-9b7a-7781-8c6a-ad887d26a2e6.html; investigation/tiktok/related_sites/exact_kit/naptiktok.net_rdap.json; investigation/tiktok/origin_sources/103.149.87.34_apnic_rdap.json,"This observation predates the current campaign and is not one of the 20 submitted campaign members. The current naptiktok.net RDAP record reflects a later 2026 Dynadot registration; do not infer that registration account controlled the 2025 deployment. The same IP also served the unrelated napgarena.vn portal in 2024, so the /23 is not an exclusive campaign network and 4S Technology is not thereby the operator."
campaign_host,,napxu.gnshop.fun,gnshop.fun,origin_unknown_cloudflare_or_removed,,no_confirmed_origin,2026-09-01T04:17:17.767483Z,200 Welcome to nginx!,not established; no origin IP,,,,,,not established,investigation/tiktok/campaign_iocs.json; investigation/tiktok/dns_snapshot_rdap_ns.json; investigation/tiktok/vhost_checks.jsonl,Observed addresses are Cloudflare edge/proxy values or no answer; they are deliberately not listed as origins. No direct origin evidence was recovered for this host.
campaign_host,,nap-xu-247.vntik.shop,vntik.shop,origin_unknown_cloudflare_or_removed,,no_confirmed_origin,2026-09-01T04:17:17.767483Z,200 Welcome to nginx!,not established; no origin IP,,,,,,not established,investigation/tiktok/campaign_iocs.json; investigation/tiktok/dns_snapshot_rdap_ns.json; investigation/tiktok/vhost_checks.jsonl,Observed addresses are Cloudflare edge/proxy values or no answer; they are deliberately not listed as origins. No direct origin evidence was recovered for this host.
campaign_host,,napxu247.muanhanh.shop,muanhanh.shop,origin_unknown_cloudflare_or_removed,,no_confirmed_origin,2026-09-01T04:17:17.767483Z,200 Welcome to nginx!,not established; no origin IP,,,,,,not established,investigation/tiktok/campaign_iocs.json; investigation/tiktok/dns_snapshot_rdap_ns.json; investigation/tiktok/vhost_checks.jsonl,Observed addresses are Cloudflare edge/proxy values or no answer; they are deliberately not listed as origins. No direct origin evidence was recovered for this host.
campaign_host,,napxu.dltiktik.shop,dltiktik.shop,origin_unknown_cloudflare_or_removed,,no_confirmed_origin,2026-09-01T04:17:17.767483Z,200 Welcome to nginx!,not established; no origin IP,,,,,,not established,investigation/tiktok/campaign_iocs.json; investigation/tiktok/dns_snapshot_rdap_ns.json; investigation/tiktok/vhost_checks.jsonl,Observed addresses are Cloudflare edge/proxy values or no answer; they are deliberately not listed as origins. No direct origin evidence was recovered for this host.
campaign_host,,napxunhanhre.khuyenmai2026.site,khuyenmai2026.site,origin_unknown_cloudflare_or_removed,,no_confirmed_origin,2026-09-01T04:17:17.767483Z,200 Welcome to nginx!,not established; no origin IP,,,,,,not established,investigation/tiktok/campaign_iocs.json; investigation/tiktok/dns_snapshot_rdap_ns.json; investigation/tiktok/vhost_checks.jsonl,Observed addresses are Cloudflare edge/proxy values or no answer; they are deliberately not listed as origins. No direct origin evidence was recovered for this host.
campaign_host,,napxu.takimedia.shop,takimedia.shop,origin_unknown_cloudflare_or_removed,,no_confirmed_origin,2026-09-01T04:17:17.767483Z,200 Welcome to nginx!,not established; no origin IP,,,,,,not established,investigation/tiktok/campaign_iocs.json; investigation/tiktok/dns_snapshot_rdap_ns.json; investigation/tiktok/vhost_checks.jsonl,Observed addresses are Cloudflare edge/proxy values or no answer; they are deliberately not listed as origins. No direct origin evidence was recovered for this host.
campaign_host,,nap-xu.sky1media.shop,sky1media.shop,origin_unknown_cloudflare_or_removed,,no_confirmed_origin,2026-09-01T04:17:17.767483Z,200 Welcome to nginx!,not established; no origin IP,,,,,,not established,investigation/tiktok/campaign_iocs.json; investigation/tiktok/dns_snapshot_rdap_ns.json; investigation/tiktok/vhost_checks.jsonl,Observed addresses are Cloudflare edge/proxy values or no answer; they are deliberately not listed as origins. No direct origin evidence was recovered for this host.
campaign_host,,nap-xu.thuynmedia.shop,thuynmedia.shop,origin_unknown_cloudflare_or_removed,,no_confirmed_origin,2026-09-01T04:17:17.767483Z,200 Welcome to nginx!,not established; no origin IP,,,,,,not established,investigation/tiktok/campaign_iocs.json; investigation/tiktok/dns_snapshot_rdap_ns.json; investigation/tiktok/vhost_checks.jsonl,Observed addresses are Cloudflare edge/proxy values or no answer; they are deliberately not listed as origins. No direct origin evidence was recovered for this host.
