indicator_type,value,root_domain,campaign_member,submission_id,reported_url,first_observed_at_utc,registration_time_utc,last_changed_utc,registrar,registrar_iana_id,nameservers,historical_edge_a_at_submission,origin_status,origin_ip,origin_server_id,origin_evidence_type,origin_evidence_time_utc,origin_caveat,authoritative_dns_snapshot_utc,authoritative_a_at_snapshot,public_dns_snapshot_utc,public_dns_a_at_snapshot,vhost_check_utc,vhost_status,vhost_title,vhost_disposition,rdap_status_at_capture,rdap_snapshot_utc,relationship,confidence,historical_only,exact_campaign_asset_match_count,urlscan_ids,historical_network,blocklist_disposition,evidence_ref,registration_context
domain,napxu.gnshop.fun,gnshop.fun,True,348389447261229079,https://napxu.gnshop.fun/,2026-08-19T08:55:17Z,2026-06-14T01:58:58.733Z,2026-08-19T09:13:31.929Z,"HOSTINGER operations, UAB",1636,saanvi.ns.cloudflare.com;decker.ns.cloudflare.com,104.21.59.107;172.67.223.92,origin_unknown_cloudflare_or_removed,,,no_confirmed_origin,2026-09-01T04:17:17.767483Z,Observed addresses are Cloudflare edge/proxy values or no answer; they are deliberately not listed as origins. No direct origin evidence was recovered for this host.,2026-09-01T04:17:17.767483Z,,2026-09-01T04:16:38.233555Z,,2026-09-01T03:46:52.089399Z,200,Welcome to nginx!,default nginx page,client hold;client transfer prohibited,2026-09-01T03:43:17.317Z,,,,,,,,,
domain,nap-xu-247.vntik.shop,vntik.shop,True,348421337477287968,https://nap-xu-247.vntik.shop/,2026-08-19T11:02:00Z,2026-03-19T08:53:11.0Z,2026-08-19T12:14:13.0Z,"HOSTINGER operations, UAB",1636,decker.ns.cloudflare.com;saanvi.ns.cloudflare.com,188.114.96.3;188.114.97.3,origin_unknown_cloudflare_or_removed,,,no_confirmed_origin,2026-09-01T04:17:17.767483Z,Observed addresses are Cloudflare edge/proxy values or no answer; they are deliberately not listed as origins. No direct origin evidence was recovered for this host.,2026-09-01T04:17:17.767483Z,,2026-09-01T04:16:38.233555Z,,2026-09-01T03:46:52.567062Z,200,Welcome to nginx!,default nginx page,client hold;client transfer prohibited,2026-09-01T03:43:19.0Z,,,,,,,,,
domain,napxu247.muanhanh.shop,muanhanh.shop,True,348539296447205417,https://napxu247.muanhanh.shop/,2026-08-19T18:50:43Z,2026-08-14T06:59:47.0Z,2026-08-20T03:10:58.0Z,"HOSTINGER operations, UAB",1636,marty.ns.cloudflare.com;serena.ns.cloudflare.com,188.114.96.3;188.114.97.3,origin_unknown_cloudflare_or_removed,,,no_confirmed_origin,2026-09-01T04:17:17.767483Z,Observed addresses are Cloudflare edge/proxy values or no answer; they are deliberately not listed as origins. No direct origin evidence was recovered for this host.,2026-09-01T04:17:17.767483Z,104.21.39.124;172.67.145.71,2026-09-01T04:16:38.233555Z,172.67.145.71;104.21.39.124,2026-09-01T03:46:53.028845Z,200,Welcome to nginx!,default nginx page,client hold;client transfer prohibited,2026-09-01T03:43:20.0Z,,,,,,,,,
domain,napxu.dltiktik.shop,dltiktik.shop,True,348756442276171825,https://napxu.dltiktik.shop/,2026-08-20T09:13:35Z,2026-08-19T16:47:26.0Z,2026-08-20T10:05:11.0Z,"HOSTINGER operations, UAB",1636,marty.ns.cloudflare.com;serena.ns.cloudflare.com,104.21.40.4;172.67.172.217,origin_unknown_cloudflare_or_removed,,,no_confirmed_origin,2026-09-01T04:17:17.767483Z,Observed addresses are Cloudflare edge/proxy values or no answer; they are deliberately not listed as origins. No direct origin evidence was recovered for this host.,2026-09-01T04:17:17.767483Z,,2026-09-01T04:16:38.233555Z,,2026-09-01T03:46:53.483087Z,200,Welcome to nginx!,default nginx page,client hold;client transfer prohibited,2026-09-01T03:43:22.0Z,,,,,,,,,
domain,napxunhanhre.khuyenmai2026.site,khuyenmai2026.site,True,348866265474928698,https://napxunhanhre.khuyenmai2026.site,2026-08-20T16:29:59Z,2026-08-14T07:00:08.739Z,2026-08-20T17:04:05.800Z,"HOSTINGER operations, UAB",1636,marty.ns.cloudflare.com;serena.ns.cloudflare.com,104.21.6.217;172.67.135.79,origin_unknown_cloudflare_or_removed,,,no_confirmed_origin,2026-09-01T04:17:17.767483Z,Observed addresses are Cloudflare edge/proxy values or no answer; they are deliberately not listed as origins. No direct origin evidence was recovered for this host.,2026-09-01T04:17:17.767483Z,104.21.6.217;172.67.135.79,2026-09-01T04:16:38.233555Z,104.21.6.217;172.67.135.79,2026-09-01T03:46:53.939352Z,200,Welcome to nginx!,default nginx page,client transfer prohibited;client hold,2026-09-01T03:43:23.731Z,,,,,,,,,
domain,napxu.takimedia.shop,takimedia.shop,True,349031076745711685,https://napxu.takimedia.shop/,2026-08-21T03:24:53Z,2026-08-20T23:38:28.0Z,2026-08-21T04:07:30.0Z,"HOSTINGER operations, UAB",1636,decker.ns.cloudflare.com;saanvi.ns.cloudflare.com,188.114.96.3;188.114.97.3,origin_unknown_cloudflare_or_removed,,,no_confirmed_origin,2026-09-01T04:17:17.767483Z,Observed addresses are Cloudflare edge/proxy values or no answer; they are deliberately not listed as origins. No direct origin evidence was recovered for this host.,2026-09-01T04:17:17.767483Z,,2026-09-01T04:16:38.233555Z,,2026-09-01T03:46:54.397266Z,200,Welcome to nginx!,default nginx page,client hold;client transfer prohibited,2026-09-01T03:43:25.0Z,,,,,,,,,
domain,nap-xu.sky1media.shop,sky1media.shop,True,350078878372335632,https://nap-xu.sky1media.shop,2026-08-24T00:48:28Z,2026-08-20T23:32:40.0Z,2026-08-24T01:03:55.0Z,"HOSTINGER operations, UAB",1636,marty.ns.cloudflare.com;serena.ns.cloudflare.com,188.114.97.3;188.114.96.3,origin_unknown_cloudflare_or_removed,,,no_confirmed_origin,2026-09-01T04:17:17.767483Z,Observed addresses are Cloudflare edge/proxy values or no answer; they are deliberately not listed as origins. No direct origin evidence was recovered for this host.,2026-09-01T04:17:17.767483Z,,2026-09-01T04:16:38.233555Z,,2026-09-01T03:46:54.855251Z,200,Welcome to nginx!,default nginx page,client hold;client transfer prohibited,2026-09-01T03:43:27.0Z,,,,,,,,,
domain,nap-xu.thuynmedia.shop,thuynmedia.shop,True,350354710311473187,https://nap-xu.thuynmedia.shop,2026-08-24T19:04:32Z,2026-08-24T16:39:51.0Z,2026-08-24T19:19:25.0Z,"HOSTINGER operations, UAB",1636,decker.ns.cloudflare.com;saanvi.ns.cloudflare.com,188.114.97.2;188.114.96.2,origin_unknown_cloudflare_or_removed,,,no_confirmed_origin,2026-09-01T04:17:17.767483Z,Observed addresses are Cloudflare edge/proxy values or no answer; they are deliberately not listed as origins. No direct origin evidence was recovered for this host.,2026-09-01T04:17:17.767483Z,,2026-09-01T04:16:38.233555Z,,2026-09-01T03:46:55.325909Z,200,Welcome to nginx!,default nginx page,client hold;client transfer prohibited,2026-09-01T03:43:28.0Z,,,,,,,,,
domain,napxu.thuytongstore.fun,thuytongstore.fun,True,350466798270812200,https://napxu.thuytongstore.fun/,2026-08-25T02:29:56Z,2026-08-25T01:56:00.327Z,2026-08-30T01:56:59.570Z,"HOSTINGER operations, UAB",1636,decker.ns.cloudflare.com;saanvi.ns.cloudflare.com,188.114.97.3;188.114.96.3,authoritative_apex_association_only,103.149.86.246,origin-103-149-86-246,authoritative_root_apex_A_record,2026-09-01T04:17:17.767483Z,"The root domain apex A record returned 103.149.86.246. This is an address association, not a direct request proving the named subdomain served the phishing body at that moment.",2026-09-01T04:17:17.767483Z,103.149.86.246,2026-09-01T04:16:38.233555Z,103.149.86.246,2026-09-01T03:46:55.785918Z,200,Welcome to nginx!,default nginx page,client transfer prohibited;client hold,2026-09-01T03:43:29.769Z,,,,,,,,,
domain,shop-xu.kimsonmedia.sbs,kimsonmedia.sbs,True,350930905994367026,https://shop-xu.kimsonmedia.sbs/,2026-08-26T09:14:07Z,2026-08-26T07:43:44.0Z,2026-08-31T07:47:13.0Z,"HOSTINGER operations, UAB",1636,decker.ns.cloudflare.com;saanvi.ns.cloudflare.com,104.21.43.40;172.67.218.225,authoritative_apex_association_only,103.149.86.246,origin-103-149-86-246,authoritative_root_apex_A_record,2026-09-01T04:17:17.767483Z,"The root domain apex A record returned 103.149.86.246. This is an address association, not a direct request proving the named subdomain served the phishing body at that moment.",2026-09-01T04:17:17.767483Z,103.149.86.246,2026-09-01T04:16:38.233555Z,103.149.86.246,2026-09-01T03:46:56.251824Z,200,Welcome to nginx!,default nginx page,server transfer prohibited;client hold;client transfer prohibited,2026-09-01T03:43:30.0Z,,,,,,,,,
