indicator_type,value,root_domain,campaign_member,submission_id,reported_url,first_observed_at_utc,registration_time_utc,last_changed_utc,registrar,registrar_iana_id,nameservers,historical_edge_a_at_submission,origin_ip_observed,authoritative_dns_snapshot_utc,authoritative_a_at_snapshot,public_dns_snapshot_utc,public_dns_a_at_snapshot,vhost_check_utc,vhost_status,vhost_title,vhost_disposition,rdap_status_at_capture,rdap_snapshot_utc,relationship,confidence,historical_only,exact_campaign_asset_match_count,urlscan_ids,historical_network,blocklist_disposition,evidence_ref,registration_context
domain,napxu.gnshop.fun,gnshop.fun,True,348389447261229079,https://napxu.gnshop.fun/,2026-08-19T08:55:17Z,2026-06-14T01:58:58.733Z,2026-08-19T09:13:31.929Z,"HOSTINGER operations, UAB",1636,saanvi.ns.cloudflare.com;decker.ns.cloudflare.com,104.21.59.107;172.67.223.92,,2026-09-01T04:17:17.767483+00:00,,2026-09-01T04:16:38.233555+00:00,,2026-09-01T03:46:52.089399+00:00,200,Welcome to nginx!,default nginx page,client hold;client transfer prohibited,2026-09-01T03:43:17.317Z,,,False,,,,,,
domain,nap-xu-247.vntik.shop,vntik.shop,True,348421337477287968,https://nap-xu-247.vntik.shop/,2026-08-19T11:02:00Z,2026-03-19T08:53:11.0Z,2026-08-19T12:14:13.0Z,"HOSTINGER operations, UAB",1636,decker.ns.cloudflare.com;saanvi.ns.cloudflare.com,188.114.96.3;188.114.97.3,,2026-09-01T04:17:17.767483+00:00,,2026-09-01T04:16:38.233555+00:00,,2026-09-01T03:46:52.567062+00:00,200,Welcome to nginx!,default nginx page,client hold;client transfer prohibited,2026-09-01T03:43:19.0Z,,,False,,,,,,
domain,napxu247.muanhanh.shop,muanhanh.shop,True,348539296447205417,https://napxu247.muanhanh.shop/,2026-08-19T18:50:43Z,2026-08-14T06:59:47.0Z,2026-08-20T03:10:58.0Z,"HOSTINGER operations, UAB",1636,marty.ns.cloudflare.com;serena.ns.cloudflare.com,188.114.96.3;188.114.97.3,,2026-09-01T04:17:17.767483+00:00,104.21.39.124;172.67.145.71,2026-09-01T04:16:38.233555+00:00,172.67.145.71;104.21.39.124,2026-09-01T03:46:53.028845+00:00,200,Welcome to nginx!,default nginx page,client hold;client transfer prohibited,2026-09-01T03:43:20.0Z,,,False,,,,,,
domain,napxu.dltiktik.shop,dltiktik.shop,True,348756442276171825,https://napxu.dltiktik.shop/,2026-08-20T09:13:35Z,2026-08-19T16:47:26.0Z,2026-08-20T10:05:11.0Z,"HOSTINGER operations, UAB",1636,marty.ns.cloudflare.com;serena.ns.cloudflare.com,104.21.40.4;172.67.172.217,,2026-09-01T04:17:17.767483+00:00,,2026-09-01T04:16:38.233555+00:00,,2026-09-01T03:46:53.483087+00:00,200,Welcome to nginx!,default nginx page,client hold;client transfer prohibited,2026-09-01T03:43:22.0Z,,,False,,,,,,
domain,napxunhanhre.khuyenmai2026.site,khuyenmai2026.site,True,348866265474928698,https://napxunhanhre.khuyenmai2026.site,2026-08-20T16:29:59Z,2026-08-14T07:00:08.739Z,2026-08-20T17:04:05.800Z,"HOSTINGER operations, UAB",1636,marty.ns.cloudflare.com;serena.ns.cloudflare.com,104.21.6.217;172.67.135.79,,2026-09-01T04:17:17.767483+00:00,104.21.6.217;172.67.135.79,2026-09-01T04:16:38.233555+00:00,104.21.6.217;172.67.135.79,2026-09-01T03:46:53.939352+00:00,200,Welcome to nginx!,default nginx page,client transfer prohibited;client hold,2026-09-01T03:43:23.731Z,,,False,,,,,,
domain,napxu.takimedia.shop,takimedia.shop,True,349031076745711685,https://napxu.takimedia.shop/,2026-08-21T03:24:53Z,2026-08-20T23:38:28.0Z,2026-08-21T04:07:30.0Z,"HOSTINGER operations, UAB",1636,decker.ns.cloudflare.com;saanvi.ns.cloudflare.com,188.114.96.3;188.114.97.3,,2026-09-01T04:17:17.767483+00:00,,2026-09-01T04:16:38.233555+00:00,,2026-09-01T03:46:54.397266+00:00,200,Welcome to nginx!,default nginx page,client hold;client transfer prohibited,2026-09-01T03:43:25.0Z,,,False,,,,,,
domain,nap-xu.sky1media.shop,sky1media.shop,True,350078878372335632,https://nap-xu.sky1media.shop,2026-08-24T00:48:28Z,2026-08-20T23:32:40.0Z,2026-08-24T01:03:55.0Z,"HOSTINGER operations, UAB",1636,marty.ns.cloudflare.com;serena.ns.cloudflare.com,188.114.97.3;188.114.96.3,,2026-09-01T04:17:17.767483+00:00,,2026-09-01T04:16:38.233555+00:00,,2026-09-01T03:46:54.855251+00:00,200,Welcome to nginx!,default nginx page,client hold;client transfer prohibited,2026-09-01T03:43:27.0Z,,,False,,,,,,
domain,nap-xu.thuynmedia.shop,thuynmedia.shop,True,350354710311473187,https://nap-xu.thuynmedia.shop,2026-08-24T19:04:32Z,2026-08-24T16:39:51.0Z,2026-08-24T19:19:25.0Z,"HOSTINGER operations, UAB",1636,decker.ns.cloudflare.com;saanvi.ns.cloudflare.com,188.114.97.2;188.114.96.2,,2026-09-01T04:17:17.767483+00:00,,2026-09-01T04:16:38.233555+00:00,,2026-09-01T03:46:55.325909+00:00,200,Welcome to nginx!,default nginx page,client hold;client transfer prohibited,2026-09-01T03:43:28.0Z,,,False,,,,,,
domain,napxu.thuytongstore.fun,thuytongstore.fun,True,350466798270812200,https://napxu.thuytongstore.fun/,2026-08-25T02:29:56Z,2026-08-25T01:56:00.327Z,2026-08-30T01:56:59.570Z,"HOSTINGER operations, UAB",1636,decker.ns.cloudflare.com;saanvi.ns.cloudflare.com,188.114.97.3;188.114.96.3,103.149.86.246,2026-09-01T04:17:17.767483+00:00,103.149.86.246,2026-09-01T04:16:38.233555+00:00,103.149.86.246,2026-09-01T03:46:55.785918+00:00,200,Welcome to nginx!,default nginx page,client transfer prohibited;client hold,2026-09-01T03:43:29.769Z,,,False,,,,,,
domain,shop-xu.kimsonmedia.sbs,kimsonmedia.sbs,True,350930905994367026,https://shop-xu.kimsonmedia.sbs/,2026-08-26T09:14:07Z,2026-08-26T07:43:44.0Z,2026-08-31T07:47:13.0Z,"HOSTINGER operations, UAB",1636,decker.ns.cloudflare.com;saanvi.ns.cloudflare.com,104.21.43.40;172.67.218.225,103.149.86.246,2026-09-01T04:17:17.767483+00:00,103.149.86.246,2026-09-01T04:16:38.233555+00:00,103.149.86.246,2026-09-01T03:46:56.251824+00:00,200,Welcome to nginx!,default nginx page,server transfer prohibited;client hold;client transfer prohibited,2026-09-01T03:43:30.0Z,,,False,,,,,,
domain,shop.huuhanstudio.space,huuhanstudio.space,True,351387190816673794,https://shop.huuhanstudio.space/,2026-08-27T15:27:14Z,2026-08-27T08:20:21.125Z,2026-08-27T16:04:47.558Z,"HOSTINGER operations, UAB",1636,decker.ns.cloudflare.com;saanvi.ns.cloudflare.com,104.21.20.135;172.67.192.238,103.149.86.246,2026-09-01T04:17:17.767483+00:00,103.149.86.246,2026-09-01T04:16:38.233555+00:00,103.149.86.246,2026-09-01T03:46:56.711752+00:00,200,Welcome to nginx!,default nginx page,server hold;client transfer prohibited;client hold;add period,2026-09-01T03:43:31.383Z,,,False,,,,,,
domain,shop.sonhaimedia.sbs,sonhaimedia.sbs,True,351624943487684609,https://shop.sonhaimedia.sbs/,2026-08-28T07:11:59Z,2026-08-26T08:32:50.0Z,2026-08-31T08:37:14.0Z,"HOSTINGER operations, UAB",1636,decker.ns.cloudflare.com;saanvi.ns.cloudflare.com,,103.149.86.246,2026-09-01T04:17:17.767483+00:00,103.149.86.246,2026-09-01T04:16:38.233555+00:00,103.149.86.246,2026-09-01T03:46:57.170665+00:00,200,Welcome to nginx!,default nginx page,server transfer prohibited;client hold;client transfer prohibited,2026-09-01T03:43:32.0Z,,,False,,,,,,
domain,shop.dainammedia.space,dainammedia.space,True,352185586284498946,https://shop.dainammedia.space/,2026-08-29T20:19:47Z,2026-08-29T14:16:28.648Z,2026-08-29T20:40:42.429Z,"HOSTINGER operations, UAB",1636,decker.ns.cloudflare.com;saanvi.ns.cloudflare.com,104.21.73.31;172.67.157.55,103.149.86.246,2026-09-01T04:17:17.767483+00:00,103.149.86.246,2026-09-01T04:16:38.233555+00:00,103.149.86.246,2026-09-01T03:46:57.656244+00:00,200,Welcome to nginx!,default nginx page,client hold;server hold;client transfer prohibited;add period,2026-09-01T03:43:32.882Z,,,False,,,,,,
domain,napxu.hoanghaimedia.shop,hoanghaimedia.shop,True,352342673387950094,https://napxu.hoanghaimedia.shop/,2026-08-30T06:43:59Z,2026-08-30T05:07:45.0Z,2026-08-30T07:04:20.0Z,"HOSTINGER operations, UAB",1636,decker.ns.cloudflare.com;saanvi.ns.cloudflare.com,104.21.16.200;172.67.215.152,103.149.86.246,2026-09-01T04:17:17.767483+00:00,103.149.86.246,2026-09-01T04:16:38.233555+00:00,103.149.86.246,2026-09-01T03:46:58.118227+00:00,200,Welcome to nginx!,default nginx page,client hold;client transfer prohibited;add period,2026-09-01T03:43:34.0Z,,,False,,,,,,
domain,napxu.ko-media.art,ko-media.art,True,352730056440680448,https://napxu.ko-media.art/,2026-08-31T08:23:18Z,2026-08-31T07:11:30.0Z,2026-08-31T08:50:02.0Z,"HOSTINGER operations, UAB",1636,decker.ns.cloudflare.com;saanvi.ns.cloudflare.com,104.21.95.230;172.67.149.11,103.149.86.246,2026-09-01T04:17:17.767483+00:00,103.149.86.246,2026-09-01T04:16:38.233555+00:00,103.149.86.246,2026-09-01T03:46:58.582235+00:00,200,Welcome to nginx!,default nginx page,server transfer prohibited;client hold;client transfer prohibited;add period,2026-09-01T03:43:35.0Z,,,False,,,,,,
domain,shop.hd-media.space,hd-media.space,True,352784145123905536,https://shop.hd-media.space/,2026-08-31T11:58:14Z,2026-08-31T07:27:16.097Z,2026-08-31T12:46:50.602Z,"HOSTINGER operations, UAB",1636,decker.ns.cloudflare.com;saanvi.ns.cloudflare.com,104.21.57.218;172.67.167.13,103.149.86.246,2026-09-01T04:17:17.767483+00:00,103.149.86.246,2026-09-01T04:16:38.233555+00:00,103.149.86.246,2026-09-01T03:46:59.044629+00:00,200,Welcome to nginx!,default nginx page,client transfer prohibited;server hold;add period,2026-09-01T03:43:36.090Z,,,False,,,,,,
domain,napxu.quangthaimedia.shop,quangthaimedia.shop,True,352799328705712141,https://napxu.quangthaimedia.shop/,2026-08-31T12:58:34Z,2026-08-31T08:45:28.0Z,2026-08-31T08:47:18.0Z,"HOSTINGER operations, UAB",1636,decker.ns.cloudflare.com;saanvi.ns.cloudflare.com,172.67.173.115;104.21.55.220,103.149.86.246,2026-09-01T04:17:17.767483+00:00,103.149.86.246,2026-09-01T04:16:38.233555+00:00,103.149.86.246,2026-09-01T03:46:59.549281+00:00,200,Welcome to nginx!,default nginx page,client transfer prohibited;add period,2026-09-01T03:43:37.0Z,,,False,,,,,,
domain,napxu.quanghung-media.site,quanghung-media.site,True,352832125797404695,https://napxu.quanghung-media.site/,2026-08-31T15:08:54Z,2026-08-31T08:57:14.830Z,2026-08-31T15:46:43.211Z,"HOSTINGER operations, UAB",1636,decker.ns.cloudflare.com;saanvi.ns.cloudflare.com,172.67.129.180;104.21.2.212,,2026-09-01T04:17:17.767483+00:00,104.21.2.212;172.67.129.180,2026-09-01T04:16:38.233555+00:00,104.21.2.212;172.67.129.180,2026-09-01T03:47:00.014483+00:00,,,HTTP/service error or suspension response,server hold;client transfer prohibited;add period,2026-09-01T03:43:38.773Z,,,False,,,,,,
domain,napxu.hoanganhmedia.sbs,hoanganhmedia.sbs,True,352854759947898915,https://napxu.hoanganhmedia.sbs/,2026-08-31T16:38:50Z,2026-08-31T14:16:48.0Z,,"HOSTINGER operations, UAB",1636,decker.ns.cloudflare.com;saanvi.ns.cloudflare.com,188.114.97.3;188.114.96.3,103.149.86.246,2026-09-01T04:17:17.767483+00:00,103.149.86.246,2026-09-01T04:16:38.233555+00:00,103.149.86.246,2026-09-01T03:47:00.479854+00:00,200,Welcome to nginx!,default nginx page,server transfer prohibited;client transfer prohibited;add period,2026-09-01T03:43:39.0Z,,,False,,,,,,
domain,napxu.hungdungmedia.fun,hungdungmedia.fun,True,352880825026482223,https://napxu.hungdungmedia.fun/,2026-08-31T18:22:24Z,2026-08-31T14:26:14.609Z,2026-08-31T18:36:39.771Z,"HOSTINGER operations, UAB",1636,decker.ns.cloudflare.com;saanvi.ns.cloudflare.com,188.114.96.3;188.114.97.3,103.149.86.246,2026-09-01T04:17:17.767483+00:00,,2026-09-01T04:16:38.233555+00:00,104.21.80.154;172.67.151.86,2026-09-01T03:47:00.985706+00:00,200,Nạp xu TikTok,fake TikTok page still served,client hold;client transfer prohibited;server hold;add period,2026-09-01T04:19:03.616Z,,,False,,,,,,
domain,napthetiktok.online,napthetiktok.online,False,,https://www.napthetiktok.online/,,2026-07-12T15:58:57.160Z,2026-08-31T19:27:44.180Z,"Spaceship, Inc.",3862,decker.ns.cloudflare.com;saanvi.ns.cloudflare.com,,,,,,,,,,,client update prohibited;client hold;client transfer prohibited,2026-09-01T04:48:58.555Z,related/uncorroborated passive lead,low,True,,,,do not add without current validation,,
domain,napxutiktok.sbs,napxutiktok.sbs,False,,https://napxutiktok.sbs/,2026-07-17T08:38:14.556Z,2026-07-15T19:10:34Z,2026-08-31T19:33:46Z,"Spaceship, Inc.",3862,decker.ns.cloudflare.com;saanvi.ns.cloudflare.com,172.67.132.229,,,,,,,,,,server hold;server transfer prohibited;client hold;client transfer prohibited;client update prohibited,2026-09-01T09:19:56Z,related exact full-kit deployment; not a case submission,high technical kit correlation,True,32,019f6f39-d115-7636-bfba-f749b16b39b1,,historical lead; revalidate before blocking,source_correlation.json#/exact_kit_deployments/0,
domain,napthegarena.online,napthegarena.online,False,,https://napthegarena.online/,2026-07-31T23:38:58.092Z,2025-11-26T02:09:11Z,2026-08-21T01:06:31.467Z,"NameCheap, Inc.",1068,decker.ns.cloudflare.com;saanvi.ns.cloudflare.com,188.114.97.3;188.114.96.3,,,,,,,,,,client transfer prohibited;client hold,2026-09-01T06:38:04Z,related exact full-kit deployment; not a case submission,high technical kit correlation,True,32,019fba8b-7e22-733c-be90-d604e0e800d5;01a01c43-6622-7391-bcdc-6f00422c59c5,,historical lead; revalidate before blocking,source_correlation.json#/exact_kit_deployments/1,
domain,nap-xu.orvantis.online,orvantis.online,False,,https://nap-xu.orvantis.online/,,2026-02-10T11:09:28Z,2026-07-21T17:03:35.354Z,"HOSTINGER operations, UAB",1636,decker.ns.cloudflare.com;saanvi.ns.cloudflare.com,,,,,,,,,,,client transfer prohibited;client hold,2026-09-01T09:19:56Z,historical source-page URL cited in public repository saved-from comment; no independent live capture,low source-page lead,True,,,,do not block from this source-comment evidence alone,source_correlation.json#/orvantis_source_page_lead,
